Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
291,Francis Mac Allister,ar ARG,LT,Rosario Cent,27-109,1995,2.8,1,3,2,667,108,072,033,050,,0,0,Partidas,1cc51702
292,Kevin Mac Allister,ar ARG,ZG,Argentinos Jun,25-101,1997,3.0,1,4,2,500,133,067,025,050,,0,0,Partidas,0cb35466
293,Imanol Machuca,ar ARG,ATLT,CA Unión,23-032,2000,2.4,1,4,1,250,166,041,025,100,,0,0,Partidas,37747484
294,Alejandro Maciel,ar ARG,ZG,Banfield,25-300,1997,3.0,0,0,0,,000,000,,,,0,0,Partidas,1522a5cc
295,Ignacio Maestro Puch,ar ARG,LT,Tucumán,19-187,2003,0.4,0,1,0,00,273,000,000,,,0,0,Partidas,3fc0e136
296,Jonatan Maidana,ar ARG,ZG,River Plate,37-202,1985,3.0,0,3,1,333,100,033,000,000,,0,0,Partidas,d48c51d6
297,Julián Malatini,ar ARG,ZG,Defensa y Just,21-261,2001,0.2,0,0,0,,000,000,,,,0,0,Partidas,8b84b707
298,Víctor Malcorra,ar ARG,LT,Rosario Cent,35-207,1987,2.8,0,7,3,429,246,105,000,000,,0,0,Partidas,90a0bb3b
299,Facundo Mallo,uy URU,ZG,Rosario Cent,28-031,1995,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,d3e5285f
300,Emanuel Mammana,ar ARG,ZG,River Plate,27-006,1996,1.0,0,0,0,,000,000,,,,0,0,Partidas,7e927fda
301,Ivo Mammini,ar ARG,AT,Gimnasia ELP,19-307,2003,0.4,0,1,0,00,281,000,000,,,0,0,Partidas,478f8f00
302,Harrinson Mancilla,co COL,LT,Sarmiento,31-056,1991,0.4,0,0,0,,000,000,,,,0,0,Partidas,e12ad8f7
303,Eros Mancuso,ar ARG,ZG,Estudiantes,23-305,1999,0.9,0,2,0,00,231,000,000,,,0,0,Partidas,e2d40bc5
304,Zahir Mansilla,ar ARG,ZG,Newell's OB,23-354,1999,0.4,0,1,0,00,257,000,000,,,0,0,Partidas,488f3ee3
305,Juan Manuel García,ar ARG,AT,CA Huracán,30-094,1992,0.5,1,2,2,1000,400,400,050,050,,0,0,Partidas,06f7516d
306,Juan Manuel Insaurralde,ar ARG,ZG,Sarmiento,38-136,1984,1.8,0,0,0,,000,000,,,,0,0,Partidas,deb82749
307,Junior Marabel,py PAR,AT,CA Unión,24-327,1998,1.8,0,5,0,00,273,000,000,,,0,0,Partidas,47b94865
308,Rafael Marcelo Delgado,ar ARG,ZG,Colón,33-034,1990,0.9,0,1,0,00,111,000,000,,,0,0,Partidas,14cc32a6
309,Tomás Marchiori,ar ARG,G,Tucumán,27-241,1995,3.0,0,0,0,,000,000,,,,0,0,Partidas,1c00ff13
310,Sasha Marcich,ar ARG,ZG,Platense,24-263,1998,0.1,0,0,0,,000,000,,,,0,0,Partidas,6d8d706a
311,Iván Marcone,ar ARG,LT,Independiente,32-258,1990,1.6,0,2,1,500,123,062,000,000,,0,0,Partidas,b14f755d
312,Gonzalo Marinelli,ar ARG,G,Tigre,34-009,1989,3.0,0,0,0,,000,000,,,,0,0,Partidas,d9caf300
313,Rodrigo Márquez,ar ARG,LT,Independiente,21-001,2002,2.2,0,2,0,00,090,000,000,,,0,0,Partidas,ad6df5d4
314,Agustín Martegani,ar ARG,LT,San Lorenzo,22-272,2000,1.1,0,1,0,00,092,000,000,,,0,0,Partidas,591bf874
315,Enzo Martín Roldán,ar ARG,LT,CA Unión,22-070,2000,1.5,0,1,0,00,067,000,000,,,0,0,Partidas,cf89da0a
316,Adrián Martínez,ar ARG,AT,Instituto Atlético Central Córdoba,30-224,1992,2.8,1,5,1,200,180,036,020,100,,0,0,Partidas,6c513f98
317,Damián Martínez,ar ARG,LTZG,Rosario Cent,33-016,1990,3.0,0,3,2,667,100,067,000,000,,0,0,Partidas,3fd3bf8a
318,Fernando Martínez,py PAR,LT,Sarmiento,28-279,1994,1.7,0,0,0,,000,000,,,,0,0,Partidas,949c2632
319,Luca Martínez,mx MEX,AT,Rosario Cent,22-030,2001,0.4,0,1,1,1000,250,250,000,000,,0,0,Partidas,9546e026
320,Ronaldo Martínez,py PAR,AT,Platense,26-297,1996,0.3,0,1,0,00,391,000,000,,,0,0,Partidas,278f93a4
321,Ángelo Martino,ar ARG,ZG,Talleres,24-256,1998,0.7,0,0,0,,000,000,,,,0,0,Partidas,3d0031f4
322,Emmanuel Más,ar ARG,ZG,Estudiantes,34-032,1989,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,b9385e1f
323,Bruno Mastronicola,ar ARG,ZG,Barracas Central,22-321,2000,0.0,0,0,0,,000,000,,,,0,0,Partidas,96352130
324,Facundo Mater,ar ARG,ZGLT,Barracas Central,24-208,1998,2.2,0,3,2,667,134,089,000,000,,0,0,Partidas,d04ee029
325,Guillermo Matías Fernández,ar ARG,LT,Boca Juniors,31-128,1991,2.3,0,0,0,,000,000,,,,0,0,Partidas,24377e64
326,Diego Matías Rodríguez,ar ARG,G,Godoy Cruz,33-236,1989,3.0,0,0,0,,000,000,,,,0,0,Partidas,19f4d2c0
327,José Mauri,it ITA,LT,Sarmiento,26-276,1996,1.1,0,0,0,,000,000,,,,0,0,Partidas,644faf10
328,Walter Mazzantti,ar ARG,ATLT,CA Huracán,26-164,1996,0.0,0,0,0,,000,000,,,,0,0,Partidas,55ce9bfd
329,Alejandro Medina,ar ARG,G,Arsenal,36-002,1987,3.0,0,0,0,,000,000,,,,0,0,Partidas,43d66dad
330,Cristian Medina,ar ARG,LT,Boca Juniors,20-260,2002,0.1,0,1,0,00,1500,000,000,,,0,0,Partidas,5a0d551b
331,Sebastián Medina,ar ARG,LT,Tigre,22-338,2000,0.1,0,0,0,,000,000,,,,0,0,Partidas,bd35fdf5
332,Lucas Melano,ar ARG,ATLT,Sarmiento,29-352,1993,0.2,0,0,0,,000,000,,,,0,0,Partidas,d7cca61a
333,Santiago Mele,uy URU,G,CA Unión,25-163,1997,3.0,0,0,0,,000,000,,,,0,0,Partidas,62849d22
334,Juan Meli,ar ARG,LT,Godoy Cruz,22-168,2000,1.2,0,2,0,00,167,000,000,,,0,0,Partidas,f0ce425d
335,Matías Melluso,ar ARG,ZG,Gimnasia ELP,24-252,1998,2.8,0,1,0,00,036,000,000,,,0,0,Partidas,57afb75f
336,Armando Méndez,uy URU,ZG,Newell's OB,26-322,1996,1.0,0,0,0,,000,000,,,,0,0,Partidas,5a39b971
337,Emiliano Méndez,ar ARG,LT,Sarmiento,34-001,1989,2.9,0,1,0,00,035,000,000,,,0,0,Partidas,9807164b
338,Mauro Méndez,uy URU,AT,Estudiantes,24-030,1999,0.5,0,4,3,750,800,600,000,000,,0,0,Partidas,12e579fa
339,Mateo Mendoza,ar ARG,ZG,Godoy Cruz,18-087,2004,0.2,0,0,0,,000,000,,,,0,0,Partidas,7b2c18c0
340,Cristian Menéndez,ar ARG,AT,Tucumán,34-320,1988,0.4,0,2,2,1000,514,514,000,000,,0,0,Partidas,879bb6ef
341,Lucas Menossi,ar ARG,LT,Tigre,30-220,1992,2.4,0,6,4,667,252,168,000,000,,0,0,Partidas,428cb878
342,Miguel Merentiel,uy URU,AT,Boca Juniors,26-357,1996,1.1,0,0,0,,000,000,,,,0,0,Partidas,307224a2
343,Nicolás Meriano,ar ARG,ZG,Club Atlético Belgrano,22-099,2000,2.7,0,0,0,,000,000,,,,0,0,Partidas,9b0cafc4
344,Lucas Merolla,ar ARG,ZG,CA Huracán,27-234,1995,1.0,0,1,1,1000,100,100,000,000,,0,0,Partidas,8302dba4
345,Eric Meza,ar ARG,ZG,Colón,23-314,1999,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,47171e2c
346,Sebastián Meza,ar ARG,G,Sarmiento,22-339,2000,3.0,0,0,0,,000,000,,,,0,0,Partidas,a3f3cf7a
347,Luis Miguel Rodríguez,ar ARG,ATLT,CC Córdoba,38-046,1985,0.5,0,5,2,400,918,367,000,000,,0,0,Partidas,96d19d5b
348,Ignacio Miramon,ar ARG,LT,Gimnasia ELP,19-249,2003,2.5,0,2,0,00,079,000,000,,,0,0,Partidas,e43a4083
349,Juan Miritello,ar ARG,LT,Defensa y Just,24-008,1999,0.2,0,0,0,,000,000,,,,0,0,Partidas,be06718c
350,Manuel Mónaco,,LT,Sarmiento,,,1.4,0,0,0,,000,000,,,,0,0,Partidas,e3c45b18
351,Lisandro Montenegro,ar ARG,LT,Newell's OB,19-326,2003,0.6,0,0,0,,000,000,,,,0,0,Partidas,69b2dea5
352,Lautaro Montoya,ar ARG,ZG,Tigre,28-132,1994,0.0,0,0,0,,000,000,,,,0,0,Partidas,94413ff0
353,Walter Montoya,ar ARG,LT,Rosario Cent,29-210,1993,0.6,0,0,0,,000,000,,,,0,0,Partidas,39e9c09a
354,Lautaro Morales,ar ARG,G,Lanús,23-062,1999,1.9,0,0,0,,000,000,,,,0,0,Partidas,119a4577
355,Leonardo Morales,ar ARG,ZG,Gimnasia ELP,31-311,1991,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,19cf6f7c
356,Santiago Morales,,ZG,Sarmiento,,,0.1,0,1,0,00,692,000,000,,,0,0,Partidas,935f1e96
357,Maximiliano Moralez,ar ARG,LT,Racing Club,35-354,1987,2.1,0,2,0,00,094,000,000,,,0,0,Partidas,f99f37fc
358,Aníbal Moreno,ar ARG,LT,Racing Club,23-279,1999,2.0,0,0,0,,000,000,,,,0,0,Partidas,0c0f1cd3
359,Nicolás Morgantini,ar ARG,ZG,Platense,28-158,1994,3.0,1,1,1,1000,033,033,100,100,,0,0,Partidas,242d37f3
360,Leonel Mosevich,ar ARG,ZG,Instituto Atlético Central Córdoba,26-012,1997,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,c072476b
361,Edwin Mosquera,co COL,AT,Defensa y Just,21-234,2001,0.3,0,0,0,,000,000,,,,0,0,Partidas,15cda5f6
362,Jherson Mosquera,co COL,ZG,Newell's OB,23-151,1999,1.7,0,0,0,,000,000,,,,0,0,Partidas,5da52e88
363,Franco Moyano,ar ARG,LT,Argentinos Jun,25-156,1997,2.8,0,1,0,00,035,000,000,,,0,0,Partidas,5d00dab4
364,Agustín Mulet,ar ARG,LT,Independiente,22-359,2000,2.5,0,1,0,00,040,000,000,,,0,0,Partidas,cfe617d2
365,Facundo Mura,ar ARG,ZG,Racing Club,23-330,1999,1.0,0,0,0,,000,000,,,,0,0,Partidas,5d16dfc2
366,Tomás Muro,ar ARG,LT,Gimnasia ELP,20-287,2002,0.8,0,3,1,333,355,118,000,000,,0,0,Partidas,9e54c87e
367,Gonzalo Muscia,ar ARG,LT,Arsenal,23-038,2000,0.9,0,0,0,,000,000,,,,0,0,Partidas,65725d02
368,Antonio Napolitano,ar ARG,LT,Gimnasia ELP,24-000,1999,0.4,0,1,0,00,231,000,000,,,0,0,Partidas,72ffe375
369,Juan Nardoni,ar ARG,LT,Racing Club,20-217,2002,2.0,0,1,1,1000,050,050,000,000,,0,0,Partidas,e91c3cc9
370,Julián Navas,ar ARG,ZG,CC Córdoba,29-078,1993,0.2,0,0,0,,000,000,,,,0,0,Partidas,a8674bb4
371,José Neris,uy URU,AT,Colón,22-340,2000,2.9,0,5,0,00,175,000,000,,,0,0,Partidas,a8b8e840
372,Roberto Nicolás Fernández,uy URU,ATLT,Godoy Cruz,24-351,1998,2.7,0,2,1,500,073,036,000,000,,0,0,Partidas,255d1969
373,Aaron Nicolás Molinas,ar ARG,LT,Tigre,22-198,2000,0.5,0,0,0,,000,000,,,,0,0,Partidas,cc704b9f
374,Diego Novaretti,ar ARG,ZG,Club Atlético Belgrano,37-283,1985,0.1,0,0,0,,000,000,,,,0,0,Partidas,c7d1536c
375,Santiago Núñez,ar ARG,ZG,Estudiantes,22-293,2000,2.0,0,2,0,00,100,000,000,,,0,0,Partidas,da0fc816
376,Thiago Nuss,ar ARG,LTAT,Argentinos Jun,22-014,2001,2.1,0,6,3,500,287,144,000,000,,0,0,Partidas,13ab2053
377,Agustín Obando,ar ARG,AT,Tigre,22-342,2000,0.1,0,0,0,,000,000,,,,0,0,Partidas,67e2d7f5
378,Christian Oliva,uy URU,LT,Talleres,26-260,1996,0.5,0,0,0,,000,000,,,,0,0,Partidas,d3b888e3
379,Francisco Oliver,ar ARG,ZG,Club Atlético Belgrano,27-262,1995,0.3,0,0,0,,000,000,,,,0,0,Partidas,9ff67151
380,Emanuel Olivera,ar ARG,ZG,Banfield,32-320,1990,3.0,0,3,1,333,100,033,000,000,,0,0,Partidas,cc4ca2f6
381,Christian Ordoñez,ar ARG,LT,Vélez Sarsf,18-207,2004,0.2,0,0,0,,000,000,,,,0,0,Partidas,0d94b6d9
382,Matías Orihuela,ar ARG,ZG,Tucumán,30-364,1992,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,432e6973
383,Nicolás Oróz,ar ARG,LT,Racing Club,28-321,1994,1.5,0,1,0,00,067,000,000,,,0,0,Partidas,c4263233
384,Franco Orozco,ar ARG,LT,Lanús,21-038,2002,0.3,1,2,1,500,783,391,050,100,,0,0,Partidas,42d44ed9
385,Nicolás Orsini,ar ARG,AT,Boca Juniors,28-157,1994,2.1,0,7,1,143,335,048,000,000,,0,0,Partidas,55934138
386,Francisco Ortega,ar ARG,ZG,Vélez Sarsf,23-334,1999,3.0,0,0,0,,000,000,,,,0,0,Partidas,54d608cc
387,Diego Ortegoza,ar ARG,LT,Talleres,25-303,1997,0.5,0,0,0,,000,000,,,,0,0,Partidas,265893e5
388,Kevin Ortíz,ar ARG,LT,Rosario Cent,22-151,2000,2.5,0,1,1,1000,040,040,000,000,,0,0,Partidas,1ed313b7
389,Sergio Ortíz,ar ARG,LT,Independiente,21-358,2001,0.3,0,0,0,,000,000,,,,0,0,Partidas,8b5960a1
390,Javier Osatchuk,ar ARG,LT,Independiente,22-287,2000,1.3,0,0,0,,000,000,,,,0,0,Partidas,315473c6
391,Abiel Osorio,ar ARG,LT,Vélez Sarsf,20-248,2002,0.9,0,0,0,,000,000,,,,0,0,Partidas,8d69f8f3
392,Fabricio Oviedo,ar ARG,AT,Rosario Cent,19-004,2004,1.3,0,0,0,,000,000,,,,0,0,Partidas,7a39f13b
393,Santiago Paiva,uy URU,AT,Arsenal,24-036,1999,0.3,0,0,0,,000,000,,,,0,0,Partidas,6a808a6e
394,Agustín Palavecino,ar ARG,LT,River Plate,26-099,1996,0.2,0,0,0,,000,000,,,,0,0,Partidas,b555c58c
395,José Paradela,ar ARG,LT,River Plate,24-063,1998,2.7,0,3,1,333,111,037,000,000,,0,0,Partidas,8cc42dd4
396,Martín Payero,ar ARG,LT,Boca Juniors,24-158,1998,0.3,0,0,0,,000,000,,,,0,0,Partidas,bdbff2b5
397,Gastón Pedernera,ar ARG,LT,Godoy Cruz,22-130,2000,0.5,0,0,0,,000,000,,,,0,0,Partidas,faa0e185
398,Mauro Peinipil,ar ARG,LTZG,Barracas Central,23-319,1999,2.6,0,0,0,,000,000,,,,0,0,Partidas,659e3021
399,Mateo Pellegrino,ar ARG,AT,Estudiantes,21-352,2001,0.8,0,4,0,00,486,000,000,,,0,0,Partidas,8c9e96c5
400,Felipe Peña,ar ARG,LT,Arsenal,21-317,2001,1.2,0,1,0,00,083,000,000,,,0,0,Partidas,1e72d119
401,Mariano Peralta,ar ARG,AT,San Lorenzo,24-361,1998,0.2,0,0,0,,000,000,,,,0,0,Partidas,575462cb
402,Guillermo Pereira,ar ARG,LT,Club Atlético Belgrano,29-031,1994,0.5,0,2,0,00,367,000,000,,,0,0,Partidas,00843162
403,Fabio Pereyra,ar ARG,ZG,CC Córdoba,33-016,1990,3.0,0,5,2,400,167,067,000,000,,0,0,Partidas,71862cd6
404,Joaquín Pereyra,ar ARG,LT,Tucumán,24-077,1998,3.0,0,4,1,250,133,033,000,000,,0,0,Partidas,98af660d
405,Damián Pérez,ar ARG,ZG,Independiente,34-056,1988,0.9,0,0,0,,000,000,,,,0,0,Partidas,7c884b79
406,Enzo Pérez,ar ARG,LT,River Plate,36-359,1986,2.8,0,1,0,00,036,000,000,,,0,0,Partidas,6d27cfc2
407,Facundo Pérez,ar ARG,LT,Lanús,23-200,1999,0.1,0,0,0,,000,000,,,,0,0,Partidas,e777121a
408,Pablo Pérez,ar ARG,LT,Newell's OB,37-190,1985,0.9,0,0,0,,000,000,,,,0,0,Partidas,3bac82ad
409,Rafa Pérez,co COL,ZG,San Lorenzo,33-038,1990,2.9,0,4,1,250,137,034,000,000,,0,0,Partidas,be83af89
410,Baldomero Perlaza,co COL,LT,Colón,30-259,1992,2.0,0,5,0,00,250,000,000,,,0,0,Partidas,f7f77b05
411,Pablo Piatti,ar ARG,ATLT,Estudiantes,33-322,1989,0.3,0,1,0,00,346,000,000,,,0,0,Partidas,48e89655
412,Leonel Picco,ar ARG,LT,Colón,23-117,1999,0.9,0,0,0,,000,000,,,,0,0,Partidas,f4187ac3
413,Alejandro Piedrahita,co COL,LT,Banfield,20-166,2002,0.3,0,0,0,,000,000,,,,0,0,Partidas,d07dab60
414,Santiago Pierotti,ar ARG,LT,Colón,21-319,2001,2.4,0,8,2,250,335,084,000,000,,0,0,Partidas,ec315772
415,Jean Pierre Rosso,uy URU,ZG,Sarmiento,25-315,1997,1.0,0,0,0,,000,000,,,,0,0,Partidas,35fb3b22
416,Juan Pignani,ar ARG,ZG,Platense,21-229,2001,1.3,0,0,0,,000,000,,,,0,0,Partidas,c3fb942c
417,Iván Pillud,ar ARG,ZG,Racing Club,36-298,1986,1.4,0,0,0,,000,000,,,,0,0,Partidas,aa07f770
418,Gonzalo Piovi,ar ARG,ZG,Racing Club,28-161,1994,2.9,0,5,1,200,171,034,000,000,,0,0,Partidas,4b3ca22c
419,Oscar Piris,ar ARG,ZG,CA Unión,33-255,1989,1.0,0,1,0,00,100,000,000,,,0,0,Partidas,4f460b91
420,Bruno Pittón,ar ARG,ZG,Newell's OB,30-015,1993,3.0,0,0,0,,000,000,,,,0,0,Partidas,e6ff541d
421,Mauro Pittón,ar ARG,LT,CC Córdoba,28-192,1994,2.3,0,3,1,333,130,043,000,000,,0,0,Partidas,363fa6bd
422,Patricio Pizarro,ar ARG,ZG,CA Huracán,22-204,2000,0.5,0,1,0,00,196,000,000,,,0,0,Partidas,b139ece3
423,Francisco Pizzini,ar ARG,LT,Talleres,29-150,1993,2.7,1,4,1,250,148,037,025,100,,0,0,Partidas,3511f465
424,Joaquín Pombo,ar ARG,ZG,Arsenal,21-335,2001,0.1,0,0,0,,000,000,,,,0,0,Partidas,6f41c0bc
425,Facundo Pons,ar ARG,AT,Arsenal,27-086,1995,0.6,0,1,1,1000,155,155,000,000,,0,0,Partidas,06cae46d
426,Juan Portillo,ar ARG,ZG,Talleres,22-274,2000,2.3,0,1,0,00,043,000,000,,,0,0,Partidas,2f9ae3a1
427,Marcos Portillo,ar ARG,LT,Newell's OB,23-016,2000,0.6,0,2,1,500,327,164,000,000,,0,0,Partidas,244afd21
428,Tomás Pozzo,ar ARG,LT,Independiente,22-142,2000,1.6,0,2,0,00,126,000,000,,,0,0,Partidas,c30ea98b
429,Fernando Prado,uy URU,ZG,Barracas Central,21-332,2001,1.6,0,0,0,,000,000,,,,0,0,Partidas,060d7443
430,Lucas Pratto,ar ARG,AT,Vélez Sarsf,34-257,1988,2.4,0,0,0,,000,000,,,,0,0,Partidas,d6f9652b
431,Sebastián Prediger,ar ARG,LT,Tigre,36-165,1986,2.3,0,1,0,00,043,000,000,,,0,0,Partidas,bbc22a16
432,Gianluca Prestianni,ar ARG,AT,Vélez Sarsf,17-016,2006,0.1,0,0,0,,000,000,,,,0,0,Partidas,d203fb17
433,Sebastián Prieto,ar ARG,ZG,Tigre,29-313,1993,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,3e0b3184
434,Ijiel Protti,ar ARG,AT,Tigre,28-016,1995,0.0,0,0,0,,000,000,,,,0,0,Partidas,57f7bac9
435,Maximiliano Puig,ar ARG,LT,Barracas Central,22-151,2000,0.0,0,0,0,,000,000,,,,0,0,Partidas,e1dac904
436,Carlos Quintana,ar ARG,ZG,Rosario Cent,35-005,1988,2.3,0,3,1,333,131,044,000,000,,0,0,Partidas,26176390
437,Franco Quinteros,ar ARG,ZG,Sarmiento,24-126,1998,1.2,0,0,0,,000,000,,,,0,0,Partidas,c4760af0
438,Mauro Quiroga,ar ARG,AT,Platense,33-071,1989,2.3,1,1,1,1000,044,044,000,000,,1,1,Partidas,1643c897
439,Sergio Quiroga,ar ARG,LT,Sarmiento,28-254,1994,2.8,0,2,1,500,070,035,000,000,,0,0,Partidas,df543124
440,Erik Ramírez,ar ARG,ATLT,Gimnasia ELP,26-148,1996,2.2,0,7,2,286,321,092,000,000,,0,0,Partidas,9492f6e2
441,Iván Ramírez,ar ARG,LT,Club Atlético Belgrano,32-358,1990,0.3,0,0,0,,000,000,,,,0,0,Partidas,e151d80e
442,Juan Ramírez,ar ARG,LT,Boca Juniors,29-267,1993,2.1,0,0,0,,000,000,,,,0,0,Partidas,46667801
443,Matías Ramírez,ar ARG,LT,Godoy Cruz,23-339,1999,1.4,0,2,2,1000,141,141,000,000,,0,0,Partidas,cfe8fb62
444,Santi Ramos Mingo,ar ARG,ZG,Defensa y Just,21-087,2001,0.2,0,0,0,,000,000,,,,0,0,Partidas,fe0a346d
445,Federico Rasmussen,ar ARG,ZG,Godoy Cruz,30-349,1992,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,413acb9d
446,Djorkaeff Reasco,ec ECU,AT,Newell's OB,24-029,1999,1.6,0,2,1,500,122,061,000,000,,0,0,Partidas,5d7b7f0e
447,Alejandro Rébola,ar ARG,ZG,Club Atlético Belgrano,34-207,1988,3.0,0,0,0,,000,000,,,,0,0,Partidas,02dfa252
448,Federico Redondo,ar ARG,LT,Argentinos Jun,20-029,2003,1.6,0,1,0,00,061,000,000,,,0,0,Partidas,b7b9c8ce
449,Eric Remedi,ar ARG,LT,Banfield,27-257,1995,0.7,0,0,0,,000,000,,,,0,0,Partidas,38e2cbd6
450,Nicolás Reniero,ar ARG,ATLT,Racing Club,27-335,1995,0.3,0,0,0,,000,000,,,,0,0,Partidas,392bd428
451,Mateo Retegui,ar ARG,AT,Tigre,23-293,1999,3.0,4,13,5,385,433,167,031,080,,0,0,Partidas,e7695e6c
452,Rodrigo Rey,ar ARG,G,Independiente,31-345,1991,3.0,0,0,0,,000,000,,,,0,0,Partidas,6436748b
453,Ciro Rius,ar ARG,LT,CC Córdoba,34-112,1988,2.3,0,2,1,500,086,043,000,000,,0,0,Partidas,6621fddf
454,Braian Rivero,ar ARG,LT,Arsenal,26-359,1996,1.0,0,2,0,00,200,000,000,,,0,0,Partidas,8bf58693
455,Alan Rodríguez,py PAR,LTZG,Rosario Cent,22-185,2000,2.8,0,3,0,00,107,000,000,,,0,0,Partidas,fd25e4d7
456,Alan Rodríguez,uy URU,LT,Argentinos Jun,23-022,2000,1.0,0,2,1,500,200,100,000,000,,0,0,Partidas,fcd24b4b
457,Gregorio Rodríguez,ar ARG,LT,Instituto Atlético Central Córdoba,23-030,2000,0.2,0,0,0,,000,000,,,,0,0,Partidas,de7ce7b1
458,Ignacio Rodríguez,ar ARG,LT,Banfield,20-359,2002,1.1,0,1,1,1000,087,087,000,000,,0,0,Partidas,6d550725
459,Juan Rodríguez,ar ARG,ZG,Talleres,28-353,1994,3.0,0,1,0,00,033,000,000,,,0,0,Partidas,18da6cc6
460,Lucas Rodríguez,ar ARG,ZG,Rosario Cent,29-142,1993,0.2,0,0,0,,000,000,,,,0,0,Partidas,ffaebee2
461,Maximiliano Rodríguez,ar ARG,ZG,Barracas Central,35-002,1988,0.8,0,1,0,00,132,000,000,,,0,0,Partidas,08cb49de
462,Salomón Rodríguez,uy URU,AT,Godoy Cruz,23-000,2000,0.9,0,6,3,500,651,325,000,000,,0,0,Partidas,d0908723
