Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
525,Natanael Troncoso,ar ARG,LT,Colón,21-327,2001,0.4,0,2,1,500,563,281,000,000,,0,0,Partidas,49434bac
526,Franco Troyansky,ar ARG,AT,Lanús,25-347,1997,0.6,1,1,1,1000,164,164,100,100,,0,0,Partidas,95bca53e
527,Silvio Ulariaga,ar ARG,AT,Godoy Cruz,20-351,2002,0.2,1,1,1,1000,450,450,100,100,,0,0,Partidas,9a8e9ca7
528,Ezequiel Unsain,ar ARG,G,Defensa y Just,27-344,1995,3.0,0,0,0,,000,000,,,,0,0,Partidas,036f15cf
529,Agustín Urzi,ar ARG,LT,Banfield,22-288,2000,0.7,0,1,0,00,134,000,000,,,0,0,Partidas,bd7e2715
530,Bruno Valdez,py PAR,ZG,Boca Juniors,30-133,1992,3.0,0,0,0,,000,000,,,,0,0,Partidas,810e6e93
531,Javier Vallejo,ar ARG,LT,Independiente,19-044,2004,1.5,0,2,0,00,135,000,000,,,0,0,Partidas,37c0ecf8
532,Diego Valoyes,co COL,ATLT,Talleres,26-147,1996,0.3,0,1,0,00,333,000,000,,,0,0,Partidas,79e75919
533,Alan Varela,ar ARG,LT,Boca Juniors,21-227,2001,2.5,0,2,0,00,080,000,000,,,0,0,Partidas,9ffb2ce6
534,Ignacio Vázquez,ar ARG,ZG,Platense,25-246,1997,0.1,0,0,0,,000,000,,,,0,0,Partidas,f228c287
535,Thiago Vecino,uy URU,AT,CA Unión,23-356,1999,1.3,0,3,0,00,223,000,000,,,0,0,Partidas,bd659846
536,Cristian Vega,ar ARG,LT,Colón,29-152,1993,1.1,0,1,0,00,090,000,000,,,0,0,Partidas,e63b0283
537,Franco Vega,ar ARG,LT,Arsenal,21-160,2001,0.7,0,1,0,00,141,000,000,,,0,0,Partidas,f980204c
